family,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,258,259,261,263,264,269,275,276,277,279,281,282,283,285,286,289,290,293,294,297,299,300,302,304,305,306,307,312,313,317,320,322,326,330,332,333,342,383,391,407,411,420,424,425,435,441,444,446,452,464,467,469,470,473,474,476,479,481,485,486,489,496,507,510,511,512,519,520,528,536,539,543,547,551,591,600,609,624,626,628,629,630,633,639,642,644,646,655,657,664,668,672,677,678,684,697,702,710,716,717,718,719,720,722,726,741,promo_lift
LADIESWEAR,7.0999381051328525,17.882075471698112,14.159090909090908,12.827586206896552,11.825,17.323529411764707,14.764705882352942,21.05263157894737,26.11764705882353,32.142857142857146,36.111111111111114,30.444444444444443,29.2,38.666666666666664,41.6,,46.5,53.0,66.0,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.518624135437235
AUTOMOTIVE,5.853087094057941,12.271946564885496,13.480392156862745,15.923954372623575,18.93617021276596,20.728813559322035,20.428571428571427,21.0,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0966622173355298
HARDWARE,1.1360402625435002,2.212962962962963,2.7222222222222223,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9479617368563344
LAWN AND GARDEN,5.5107030817494005,10.27747551686616,15.208860759493671,13.437869822485206,18.063063063063062,23.28846153846154,25.825242718446603,33.445544554455445,35.09803921568628,42.59183673469388,47.5625,55.23880597014925,58.81578947368421,68.75,83.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865002589397998
HOME AND KITCHEN I,16.837739408389446,30.567582938388625,33.579385171790236,36.59492385786802,41.170292573143286,50.537967914438504,45.91304347826087,54.93362831858407,57.372492836676216,63.64750957854406,70.68589743589743,74.67460317460318,73.8125,85.23076923076923,101.55555555555556,87.43243243243244,109.71428571428571,146.23333333333332,215.11111111111111,205.4,120.77777777777777,185.0,109.0,241.33333333333334,,72.0,75.0,,,,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8154208351245922
BEVERAGES,1292.272590553389,2254.4040763506955,2567.2882783071127,2950.0678893178892,3080.7140921409214,3054.160355029586,3086.8976377952754,3098.2507507507507,3157.0907655880033,3103.272506082725,3127.25641025641,3090.2921960072595,2967.875,2984.145175834085,2961.450050454087,2820.4863078375824,3024.5498458376155,3129.5328467153286,3112.3217488789237,3078.234234234234,3108.9329341317366,3140.5118601747813,3149.868286445013,3158.191381495564,3435.8948787061995,3488.729877216917,3530.6452991452993,3510.7745591939547,3606.2326530612245,3844.725,3836.8917018284105,3921.3059360730595,4237.243285939969,4255.205035971223,4378.658088235294,4183.919642857143,3860.0208816705335,4019.141666666667,3875.1523545706373,3875.7066666666665,3697.0,3886.714285714286,3747.08480565371,4075.2542372881358,3813.8217054263564,3841.411111111111,3825.1048034934497,3988.8818897637793,3959.5726872246696,4258.230414746544,4612.445497630331,4142.580110497238,4034.937853107345,4168.74269005848,4593.884146341464,4468.427586206896,4566.524822695035,5233.083333333333,4639.606837606838,4536.058252427184,4560.675438596491,5115.380434782609,4653.104477611941,4454.732558139535,5152.494252873563,4830.325301204819,4885.951807228916,5271.537634408603,5517.896103896104,5287.202380952381,5889.544117647059,5202.901639344263,5771.555555555556,5491.803278688524,5633.918367346939,5744.5,6638.285714285715,6373.55,6769.4,5939.821428571428,7929.36,7028.2,8033.235294117647,6892.111111111111,7356.4,7998.0,10338.857142857143,10065.333333333334,9237.0,5726.142857142857,6866.0,6049.666666666667,7200.666666666667,2665.6,,,9485.25,7166.333333333333,,4125.5,,4774.0,5006.0,,,1525.0,10265.0,,10723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047.0,,,,,,,,,,,,,,,,,2010.0,1446.0,1569.0,1123.0,,1016.0,,,1087.0,1255.0,1510.0,1268.0,,,1401.0,,,1717.0,1592.0,,,1772.0,,,1905.0,,,1958.0,,2024.0,1547.0,1395.5,2278.0,1678.0,1668.6666666666667,1489.0,,2257.0,,,,,,2032.0,,,2365.0,,,,2141.0,1559.0,,2291.0,,,,,,,,1515.0,2728.0,,,2291.0,,,,,,,,,,,,,,,,,,,,,,,,3034.0,,,,,,5584.0,2405.0,,4284.0,2663.0,2401.0,,,,2593.0,,3473.0,2948.0,3699.0,2878.5,3780.0,4984.0,3179.0,3458.0,3252.5,3251.25,2963.0,2483.0,3225.0,3919.0,3334.0,3130.0,4601.0,4042.0,4578.0,3142.0,4577.0,4314.0,5601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744526729755441
GROCERY II,21.302750285167818,35.744028662420384,9.792814371257485,14.356435643564357,19.57875457875458,27.2816091954023,30.214285714285715,33.833333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6779067577629825
DAIRY,479.81112767235436,799.9020238095238,901.1723552706015,981.329821921244,1015.6385625431928,977.2955209347614,924.6494915254237,920.9043062200957,943.7226107226107,819.6079613992763,819.4956331877729,849.8745644599303,797.9798206278027,789.1984829329962,775.002487562189,833.4906166219839,925.9192886456908,974.2038961038961,980.5261669024045,954.0766666666667,970.4724025974026,1092.4340222575518,1123.5719298245615,1092.5767857142857,1171.708041958042,1149.259336099585,1286.6614481409001,1238.9174107142858,1304.8592750533048,1317.1561771561771,1386.6666666666667,1430.9247648902822,1337.5604838709678,1302.6291666666666,1378.6495726495727,1417.1666666666667,1348.201793721973,1531.603448275862,1374.9625,1468.2265625,1637.7565217391304,1510.7283950617284,1667.36,1542.7611940298507,1465.8039215686274,1266.135593220339,1237.8085106382978,1639.6097560975609,1191.8684210526317,1095.6097560975609,823.1666666666666,1262.52,1461.0666666666666,1090.6666666666667,929.2857142857143,655.1379310344828,408.77272727272725,207.42105263157896,216.35294117647058,243.89285714285714,218.43333333333334,242.91666666666666,244.73529411764707,247.5142857142857,290.15384615384613,250.32142857142858,249.75,278.7631578947368,267.02777777777777,297.2173913043478,273.20512820512823,267.12820512820514,310.52272727272725,294.97222222222223,305.53061224489795,325.12,352.17857142857144,323.57142857142856,327.9142857142857,347.39473684210526,362.72972972972974,349.1,358.2857142857143,348.81081081081084,402.0,360.1190476190476,398.1212121212121,370.88235294117646,421.78125,438.7317073170732,424.625,437.7692307692308,436.075,455.51851851851853,468.2916666666667,467.34375,423.59375,468.32,498.5,465.55882352941177,525.0689655172414,513.4230769230769,492.8636363636364,506.2142857142857,511.94117647058823,558.6,534.7222222222222,571.2051282051282,558.7407407407408,600.5,601.6756756756756,582.6976744186046,644.6285714285714,631.0263157894736,591.0857142857143,647.8787878787879,602.6666666666666,597.1481481481482,679.175,694.1,661.1935483870968,710.6896551724138,689.6486486486486,694.551724137931,713.2368421052631,654.8666666666667,723.96875,725.9130434782609,657.64,724.0,736.3103448275862,733.3,755.1818181818181,744.5714285714286,829.0,761.2692307692307,769.0,832.9285714285714,761.4166666666666,808.969696969697,763.95,818.0769230769231,791.9444444444445,809.2,859.304347826087,822.875,838.0714285714286,849.0,741.625,900.7142857142857,894.6363636363636,855.5833333333334,760.3333333333334,949.6666666666666,899.4444444444445,,822.0,921.25,1021.6666666666666,798.5,1156.0,1091.0,1090.0,1156.0,,1024.5,1275.0,1263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6671185340990006
LINGERIE,7.053474912170075,11.237988826815643,12.111702127659575,23.433333333333334,13.5,65.63636363636364,35.91304347826087,11.666666666666666,16.5,22.5,26.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5932556600471637
FROZEN FOODS,106.52434938889796,168.74461792781165,221.02557593934662,269.61838311160477,321.0139562644599,366.0474520204828,386.3264909960053,316.81818687951807,358.15178176770536,425.00366582706766,316.7284446666667,257.9414391217712,219.361423720339,115.67518757205241,180.40799970318022,147.06287482407407,133.5886869217391,152.54691250691243,143.96782197260274,177.47198801190476,172.7325496423841,184.4327512080537,207.70944531092437,204.737338,261.3924114285714,206.01967647058822,326.3078846153846,483.5159545454546,327.596,329.926,483.26987125,229.66,410.031,430.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5840943305061699
POULTRY,313.334512833572,475.60672838282915,456.6907941255412,423.43526024757955,509.5980286126582,406.3852443130841,423.17530883720934,204.84926769014086,197.715283525,183.19097765,171.45252471102663,216.65085000273223,150.98675249479166,164.25236063492062,182.45204229573937,190.97709707277627,221.19141129012343,251.3113878722628,295.7328083622047,293.6197127947598,307.36846498039216,303.1693103703704,284.86481976851854,262.5416992746114,276.29377595628415,259.41745005555555,273.38023635135136,272.6408890277778,327.23229711864406,363.6184658252427,447.6672366412214,566.3336253797468,662.6549807586207,935.859710472973,923.8196341420119,1061.8555820095694,1079.8639996153847,917.777660787037,911.6497432740213,1005.2445781875,1058.2010904968945,1044.3608263265305,1106.418278797814,1273.041809,1292.295864537037,1496.8057614285713,1763.3770180000001,1605.6059599999999,1743.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5178881001067643
BREAD/BAKERY,379.51324925478474,571.22870382424,619.0342269506584,607.2460398280014,503.74927346329116,455.2495047174447,572.9786221477532,573.5507192884864,544.8243254673183,628.9111688596491,539.0668906409048,640.1061019768665,612.7197457392687,653.160584,598.5557419281046,650.5805980487805,667.6313977678572,730.9260273513513,669.7512590066225,697.3293787401575,657.2954000000001,725.3343851807228,938.0728079452055,553.0811304347826,622.5568431372549,449.5587152173913,419.9178,442.55395396825395,406.517078125,356.7866153846154,255.64532258064517,219.5379240506329,248.41446249999998,220.23376623376623,210.94285714285715,211.46236559139786,267.04761904761904,225.76859504132233,245.5132743362832,243.16470588235293,278.60185185185185,286.4022988505747,271.56944444444446,329.4848484848485,327.3333333333333,344.0,367.1923076923077,398.76,430.0,409.21875,435.52941176470586,517.6111111111111,500.0,579.0,625.4285714285714,622.0,620.2307692307693,689.625,638.6,670.3478260869565,660.25,612.6470588235294,663.0294117647059,697.8,672.7666666666667,714.1904761904761,729.1578947368421,716.9117647058823,742.9183673469388,791.9310344827586,774.9384615384615,804.1111111111111,785.0,808.4989666666667,858.2298032786885,848.6545454545454,826.1857826086957,865.0,883.2701578947368,854.5309696969697,894.817731607143,919.0675641025641,878.6060606060606,950.8946341463414,942.151894736842,995.9502727272726,903.3167575757576,1019.5264375,947.3242777777778,1043.4205384615384,1156.854125,1049.605111111111,998.3333333333334,1014.2312,,947.0,988.0,,,,,,,,915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5051614270276711
PERSONAL CARE,220.87896783986338,312.1927652733119,350.2452068617558,338.09734181954326,300.6266825019794,300.8204939181718,324.2368240930869,311.45762711864404,326.6660412757974,325.7204724409449,352.582295988935,384.52536038441,402.49840459476707,423.7711627906977,419.16119828815977,417.92083333333335,394.3979057591623,399.2845188284519,391.73509933774835,431.9136690647482,381.64948453608247,447.04545454545456,459.04,500.1333333333333,455.7894736842105,458.94444444444446,544.6666666666666,423.5,543.7142857142857,481.25,,,116.0,131.0,,83.0,,92.0,116.5,151.0,,155.4,180.0,136.5,,,172.75,187.0,229.0,181.0,150.0,317.0,294.0,290.75,250.0,,225.0,,,380.0,373.0,,,,,234.0,,7504.0,,,,,327.0,311.0,332.0,358.0,,373.0,515.6666666666666,4946.0,,719.3333333333334,,408.25,407.0,,,507.5,373.0,377.5,565.0,,,,508.0,,667.5,2885.0,737.0,666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41341101113642825
DELI,221.76338163303342,308.65428802166906,330.75816436635336,330.104828101659,303.580261726928,283.7513203256433,277.6263595377532,300.0884419102928,331.76962685945074,342.0724589002037,371.64650797988264,382.04616330466826,410.6632223214286,417.9425061776859,432.3733625730994,474.3224059409594,463.0969082758621,442.691659574468,448.14433288888887,561.3065714285715,325.6310344827586,353.9939310344828,201.45897222222223,143.29045945945944,153.28885294117646,152.7528157894737,135.98378378378376,119.248125,119.7840652173913,128.7671320754717,125.69391666666667,122.82583044067796,118.34376125373134,148.2472295081967,149.7246851851852,175.206510375,175.29782608695652,172.6308664,169.5027478655462,186.05021286524823,175.700192686747,184.44705392814373,189.5812203248731,202.74086436199096,208.6206693548387,213.0192537878788,224.14696593197277,237.9068194699647,240.21562583916085,241.48772613013696,245.32087164750956,256.9130578700361,260.07299662207356,268.01942124542126,281.2206929850746,314.0181584158416,324.8733762751678,327.845573071161,349.29054224899596,383.9383283587786,410.3022624444444,416.8143245175438,438.8946173469388,472.09619670212766,499.811549025641,516.2478926785714,541.0491115294118,616.5370853191489,608.8540642201834,621.3849739473684,671.3959874074073,627.8917571428572,633.5718400000001,708.2573333333332,722.8871842105264,778.9200952380952,810.1745343333333,818.5185,828.2345714285714,847.3577272727272,847.1451999999999,891.5245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39181809796001305
SEAFOOD,19.207319680484066,26.649346368315445,31.201113979184164,28.202830325499093,22.856937485156248,38.068377068535824,67.1985543319398,96.29951763148149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3874578448024157
MEATS,303.08108758763603,405.0279000252241,434.52663745019925,501.7809581713362,530.4845260436138,508.50743504098364,379.3689125434783,248.28112496875,226.56111055555556,201.24318195454546,314.5955896805556,296.98796174594594,289.2409908122066,191.9905611846847,169.41986753846152,155.85538532962963,186.08161084883722,213.00850513258428,222.1896107672956,282.8765480229885,310.3249364404762,379.55770573096447,412.50332159482764,438.09695145454543,398.65071057851236,518.4018208888889,298.3335,193.77677666666668,218.27349961538462,258.37061928571427,277.8697398,272.22000013513514,288.3285108510638,296.07029455357144,298.13292808,289.6141031746032,308.1223229752066,358.4373136521739,348.1844523478261,337.11461822033897,434.61145040983604,449.0121056521739,525.5767671165645,602.7626277948717,688.6018909433963,676.0010790438248,822.2990631598512,870.6325803548386,910.9351777170417,1016.0251198983051,1039.7595375737703,1136.7830772262776,1311.5046041363637,1412.9463254752852,1410.1002564233577,1393.01721875,1737.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33636810943576306
PREPARED FOODS,92.48189513408091,120.18454332190083,134.5838561588089,139.54041643598057,68.21476626829269,45.20501655298013,50.52850381265823,57.98936360442261,62.79543793670886,68.31405328,72.3712842538071,78.23679530708661,89.94415533980582,108.09273913043478,153.03914285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29954671828098267
CLEANING,868.3783263475972,1115.9413978494624,1205.9511133433784,1281.5001164686698,1309.117991938439,1309.311448724905,1308.5488776249094,1292.6482873851294,1244.1607629427792,1198.4162219850587,1192.607032057911,1191.760736196319,1200.4907407407406,1132.9019607843138,1122.7203647416413,1156.9692765113973,1176.2068636796948,1126.0862619808306,1097.9914893617022,1121.6778290993072,1171.5993111366245,1171.8737201365188,1204.7365269461077,1213.6757123473542,1260.5660639777468,1275.0916271721958,1233.1065719360568,1207.363471971067,1385.2723658051689,1322.20987654321,1288.4408352668213,1285.7513513513513,1225.246153846154,1165.8551532033425,1187.7084548104956,1217.3434903047091,1334.8176291793313,1273.9252336448599,1317.2414860681115,1385.769716088328,1389.6809815950921,1390.8489208633093,1513.8592057761732,1545.3819444444443,1674.4666666666667,1598.9797570850203,1778.57,1761.9148936170213,1743.0797101449275,1885.1567164179105,1842.7821782178219,1918.394366197183,2041.2875,2199.2,1936.0188679245282,2148.0227272727275,1930.2222222222222,2074.575,2186.3333333333335,1595.047619047619,2084.6666666666665,2265.25,1765.25,2294.1666666666665,1952.0,1875.8333333333333,2443.777777777778,2164.5714285714284,1636.0,1966.6666666666667,2256.2,2266.0,3727.0,2899.5,2254.0,,,,,,,,,,,,,,200.0,,,,,,,,,,881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0,,,,,,,,,,537.0,,,,,,725.0,,,,,,,,,,,,,,,,,,,,728.0,,,,646.0,751.0,,,,723.0,1137.0,,,959.0,,,,886.0,,1193.0,1275.0,955.5,,,6238.0,787.5,1134.0,1021.0,,1068.0,,1132.0,,1168.0,1195.3333333333333,,,,1413.0,1515.0,1377.0,,1379.0,,1506.6666666666667,,1182.0,,2013.0,,,,,6881.0,2225.0,,,1132.0,,,,2083.0,1126.0,1558.0,,1497.0,,1524.0,,,1542.0,1751.0,,2681.0,,1640.3333333333333,,1266.0,,,,,1562.0,,1581.0,1936.0,1452.0,2303.0,2347.0,,1586.0,1971.5,,2345.6666666666665,,0.0,3032.0,2450.5,,2947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2850866540429637
